Date,Open,High,Low,Close,Adj Close,Volume
2012-12-05,13.030000,13.032500,12.435000,12.645000,12.639490,18192400
2012-12-06,12.530000,12.990000,12.425000,12.877500,12.871889,12760400
2012-12-07,13.090000,13.122500,12.532500,12.657500,12.651985,10031200
2012-12-10,12.562500,12.965000,12.555000,12.770000,12.764437,8768400
2012-12-11,13.057500,13.485000,13.005000,13.262500,13.256721,14374000
2012-12-12,13.470000,13.475000,13.075000,13.172500,13.166760,12551600
2012-12-13,13.110000,13.382500,12.702500,12.875000,12.869390,14104800
2012-12-14,12.630000,12.732500,12.375000,12.510000,12.504549,11422000
2012-12-17,12.530000,13.010000,12.485000,12.997500,12.991838,8050800
2012-12-18,13.197500,13.657500,13.092500,13.600000,13.594075,19013600
2012-12-19,13.710000,13.725000,13.395000,13.405000,13.399159,15053600
2012-12-20,13.490000,13.510000,13.217500,13.415000,13.409155,12149200
2012-12-21,12.797500,13.042500,12.625000,12.997500,12.991838,14026000
2012-12-24,12.930000,12.952500,12.827500,12.887500,12.881884,2184400
2012-12-26,12.927500,12.977500,12.455000,12.582500,12.577018,6606800
2012-12-27,12.602500,12.655000,12.047500,12.512500,12.507049,12839600
2012-12-28,12.255000,12.525000,12.150000,12.150000,12.144706,6845200
2012-12-31,12.092500,13.005000,12.040000,12.942500,12.936861,17627200
2013-01-02,13.875000,14.170000,13.730000,14.150000,14.143834,14780000
2013-01-03,14.147500,14.242500,13.807500,13.945000,13.938924,12947200
2013-01-04,13.955000,13.955000,13.705000,13.807500,13.801483,6342000
2013-01-07,13.687500,13.875000,13.565000,13.822500,13.816479,7617600
2013-01-08,13.805000,13.910000,13.515000,13.742500,13.736513,7293200
2013-01-09,13.787500,13.992500,13.757500,13.882500,13.876451,6416400
2013-01-10,14.157500,14.200000,13.750000,14.127500,14.121345,9814800
2013-01-11,14.112500,14.207500,14.032500,14.180000,14.173821,4419200
2013-01-14,13.955000,14.115000,13.820000,13.997500,13.991402,6140400
2013-01-15,13.805000,13.852500,13.610000,13.790000,13.783991,9035200
2013-01-16,13.870000,14.100000,13.782500,13.945000,13.938924,6342400
2013-01-17,14.132500,14.320000,14.060000,14.160000,14.153831,9609200
2013-01-18,14.022500,14.105000,13.872500,14.080000,14.073866,8585200
2013-01-22,14.117500,14.155000,13.852500,14.137500,14.131341,10523600
2013-01-23,14.365000,14.512500,14.305000,14.367500,14.361240,9378400
2013-01-24,13.805000,14.190000,13.732500,13.795000,13.788989,10255200
2013-01-25,13.937500,14.125000,13.850000,14.000000,13.993900,7100400
2013-01-28,14.017500,14.240000,13.960000,14.100000,14.093857,10399600
